732759526326806;55;;
732759526341065;1;;
732759526352651;2;;
732759526358449;3;;
732759526371192;21;;
732759526382789;6;;
732759526384178;1;;
732759526395764;2;;
732759526401563;3;;
732759526428218;21;;
732759526439815;6;;
732759526440857;1;;
732759526452558;2;;
732759526458357;3;;
732759526467743;21;;
732759526479340;6;;
732759526480498;1;;
732759526492083;2;;
732759526497882;3;;
732759526504838;21;;
732759526516539;6;;
732759526517824;1;;
732759526529410;2;;
732759526535208;3;;
732759526542280;21;;
732759526553866;6;;
732759526554676;1;;
732759526566273;2;;
732759526572060;3;;
732759526593623;20;;
732759526605208;6;;
732759526606262;1;;
732759526617847;2;;
732759526623646;3;;
732759526631991;21;;
732759526643576;6;;
732759526644965;1;;
732759526656563;2;;
732759526662361;3;;
732759526667917;21;;
732759526679514;6;;
732759526680440;1;;
732759526692026;2;;
732759526697824;3;;
732759526714398;21;;
732759526725984;6;;
732759526727037;1;;
732759526738623;2;;
732759526744421;3;;
732759526752535;21;;
732759526764120;6;;
732759526765394;1;;
732759526776991;2;;
732759526782778;3;;
732759526789155;21;;
732759526800752;6;;
732759526801447;1;;
732759526813033;2;;
732759526818831;3;;
732759526824398;21;;
732759526836100;6;;
732759526837257;1;;
732759526848854;2;;
732759526854641;3;;
732759526856736;21;;
732759526868438;6;;
732759526869248;1;;
732759526880845;2;;
732759526886632;3;;
732759526893704;21;;
732759526905417;6;;
732759526906690;1;;
732759526918276;2;;
732759526924074;3;;
732759526931609;21;;
732759526943310;6;;
732759526945174;1;;
732759526956875;2;;
732759526962674;3;;
732759526974259;21;;
732759526985857;6;;
732759526986667;1;;
732759526998252;2;;
732759527004051;3;;
732759527010660;21;;
732759527022245;6;;
732759527023171;1;;
732759527034769;2;;
732759527040556;3;;
732759527045544;20;;
732759527057141;6;;
732759527058067;1;;
732759527069769;2;;
732759527075567;3;;
732759527086921;21;;
732759527098519;6;;
732759527099676;1;;
732759527111262;2;;
732759527117060;3;;
732759527129699;21;;
732759527141285;6;;
732759527142326;1;;
732759527154039;2;;
732759527159826;3;;
732759527171076;21;;
732759527182662;6;;
732759527184167;1;;
732759527195764;2;;
732759527201563;3;;
732759527207465;21;;
732759527219063;6;;
732759527220104;1;;
732759527231690;2;;
732759527237488;3;;
732759527245602;21;;
732759527257303;6;;
732759527258472;1;;
732759527270174;2;;
732759527275972;3;;
732759527281759;21;;
732759527293472;6;;
732759527294514;1;;
732759527306227;2;;
732759527312014;3;;
732759527317928;21;;
732759527329514;6;;
732759527330324;1;;
732759527341921;2;;
732759527347720;3;;
732759527354907;20;;
732759527366609;6;;
732759527367419;1;;
732759527379016;2;;
732759527384803;3;;
732759527392917;21;;
732759527404514;6;;
732759527405671;1;;
732759527417373;2;;
732759527423171;3;;
732759527426296;21;;
732759527437894;6;;
732759527438819;1;;
732759527450405;2;;
732759527456204;3;;
732759527466400;21;;
732759527477998;6;;
732759527478808;1;;
732759527490509;2;;
732759527496308;3;;
732759527504537;21;;
732759527516134;6;;
732759527517176;1;;
732759527528762;2;;
732759527534560;3;;
732759527541516;21;;
732759527553218;6;;
732759527554375;1;;
732759527565972;2;;
732759527571759;3;;
732759527580116;21;;
732759527591701;6;;
732759527592743;1;;
732759527604340;2;;
732759527610127;3;;
732759527617431;21;;
732759527629028;6;;
732759527630185;1;;
732759527641771;2;;
732759527647569;3;;
732759527653021;21;;
732759527664607;6;;
732759527665648;1;;
732759527677245;2;;
732759527683033;3;;
732759527695671;21;;
732759527707373;6;;
732759527708183;1;;
732759527719780;2;;
732759527725579;3;;
732759527731134;21;;
732759527742732;6;;
732759527743657;1;;
732759527755243;2;;
732759527761042;3;;
732759527768461;21;;
732759527780046;6;;
732759527780857;1;;
732759527792454;2;;
732759527798252;3;;
732759527803808;21;;
732759527815405;6;;
732759527816678;1;;
732759527828380;2;;
732759527834178;3;;
732759527841366;21;;
732759527852951;6;;
